product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724609667456,SPACE MARINES PRIMARIS INTERCESSORS,99120101309,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724609798528,SPACE MARINES HELLBLASTERS,99120101308,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724609995136,SPACE MARINES: REDEMPTOR DREADNOUGHT,99120101310,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724610191744,SPACE MARINES: REPULSOR,99120101311,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724610421120,SPACE MARINES: INCEPTOR SQUAD,99120101312,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724610617728,S/M PRIMARIS LIEUTENANT WITH POWER SWORD,99070101053,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724610814336,SPACE MARINES: TERMINATOR SQUAD,99120101398,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611010944,S/MARINES: CHAPLAIN IN TERMINATOR ARMOUR,99120101399,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611207552,S/MARINES: CAPTAIN IN TERMINATOR ARMOUR,99120101400,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611338624,SPACE MARINES: ELIMINATOR SQUAD,99120101323,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611469696,SPACE MARINES PRIMARIS IMPULSOR,99120101324,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611666304,SPACE MARINES HEAVY INTERCESSORS,99120101288,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611764608,SPACE MARINES: PRIMARIS ANCIENT,99070101076,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724611961216,SPACE MARINES PRIMARIS INFILTRATORS,99120101325,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724612092288,S/M PRIMARIS INVICTOR TACTICAL WARSUIT,99120101326,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724612288896,INFER S/M + PAINTS ENG/SPA/PORT/LATV/ROM,52170101001,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724612485504,NIGHT LORDS: THE OMNIBUS (PB),60100181272,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724612682112,AHRIMAN: THE OMNIBUS (PB),60100181432,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724612845952,GAUNT'S GHOSTS: THE FOUNDING (PB),60100181462,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724613108096,DEATHWATCH (PB),60100181722,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724613337472,BRUTAL KUNNIN (PB),60100181776,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724613534080,THE INFINITE AND THE DIVINE (PB),60100181775,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724613730688,SIEGE OF TERRA: SATURNINE (ENG),60100181787,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724613894528,DARK IMPERIUM (ENG),60100181794,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614156672,DARK IMPERIUM: PLAGUE WAR (PB),60100181798,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614320512,DARK IMPERIUM: GODBLIGHT (PB),60100181799,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614451584,KRIEG PB (ENGLISH),60100181805,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614615424,MORTIS PB (ENGLISH),60100181806,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614779264,EISENHORN OMNIBUS,60100181810,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724614943104,THE IRON KINGDOM PB (ENGLISH),60100181819,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724615106944,AHRIMAN: ETERNAL (PB),60100181825,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724615270784,SIEGE OF TERRA: WARHAWK (PB),60100181830,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724615434624,RENEGADES: HARROWMASTER (PB),60100181834,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724615598464,MINKA LESK: THE LAST WHITESHIELD OMNIBUS,60100181839,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724615762304,LONGSHOT (PB),60100181841,Online Store,gid://shopify/Publication/308211384704,false,published
